episode,orig_s,trimmed_s,new_s,speedup,n_segments,n_pauses,retimed_frac,vel_ratio_max,acc_ratio_max,vel_ratio_p99,acc_ratio_p99,demo_vel_ratio_max,demo_acc_ratio_max,steps
170,27.2667,27.1000,24.4000,1.1175,7,6,0.1148,0.7536,0.8473,0.2581,0.3957,5.5023,4.5856,3
171,40.0000,39.3667,32.6333,1.2257,9,8,0.9949,1.1714,1.2524,0.9013,0.7714,2.9020,2.1565,3
172,40.0333,40.0333,32.3333,1.2381,14,13,0.7763,1.2519,2.6346,0.8963,0.6957,7.1602,3.8276,3
173,40.0000,39.0667,30.0000,1.3333,11,10,0.8611,1.2841,1.2675,0.8433,0.7448,2.4332,2.2693,3
174,40.0333,39.2000,29.7667,1.3449,11,10,0.8365,1.1614,1.5200,0.8401,0.7570,2.6950,2.4060,3
175,40.0000,38.3667,32.4000,1.2346,12,11,0.7047,1.1298,1.4248,0.8420,0.7318,7.9802,4.7571,3
176,40.0333,40.0000,33.2333,1.2046,13,12,0.2808,1.1316,1.0871,0.6999,0.6025,5.8265,2.8996,3
177,40.0000,40.0000,31.3000,1.2780,11,10,0.7348,1.1752,1.3097,0.7885,0.7519,7.5039,3.9545,3
178,40.0333,39.1333,28.6000,1.3998,11,10,0.9394,1.1530,1.7386,0.7977,0.7483,2.4399,2.1066,3
179,40.0333,40.0333,34.0000,1.1775,14,13,0.5863,1.1382,1.3401,0.8901,0.7221,8.1938,3.8340,3
180,40.0000,38.9333,25.8000,1.5504,16,15,0.9716,1.0480,1.0116,0.6561,0.6899,1.3909,1.3912,3
181,40.0000,40.0000,28.1333,1.4218,14,13,0.9182,1.0296,1.0530,0.6630,0.7221,1.2369,1.3569,3
182,40.0000,39.7333,27.2333,1.4688,18,17,0.9192,1.0339,1.1008,0.7031,0.7028,1.2421,1.4575,3
183,40.0333,38.5000,28.1667,1.4213,13,12,0.9373,1.1461,1.5815,0.7576,0.7340,1.4683,1.8164,3
184,40.0000,39.1667,27.1333,1.4742,17,16,0.9631,1.1038,1.1458,0.6897,0.7245,1.6564,1.6019,3
185,40.0000,37.5000,27.6333,1.4475,12,11,0.8251,1.0497,0.9766,0.7284,0.7078,1.8147,1.8817,3
